,experiment_name,experiment_description,num_anchors,bearing_kappa,bearing_noise_std_deg_approx,sigma_gnss_m,avg_localization_error_m,std_localization_error_m,n_simulations,solver
43,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",9,100,5.729577951308233,3.0,59.789982490578026,23.191621270101653,2000,odr
44,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",9,50,8.102846845413955,3.0,54.0438745999545,24.23065517132988,2000,odr
45,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",9,20,12.811725781509187,3.0,73.44944249474933,27.61844333839539,2000,odr
46,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",9,10,18.118516357615334,3.0,83.35029040198424,29.237587601870985,2000,odr
47,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",9,5,25.623451563018374,3.0,86.5569039290447,28.037277244574536,2000,odr
48,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",9,2,40.51423422706978,3.0,85.89988768623488,29.996154555347168,2000,odr
49,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",9,1,57.29577951308232,3.0,81.11177477212344,27.487255795024137,2000,odr
50,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",10,1000,1.8118516357615333,3.0,61.44161822429168,13.215057432119757,2000,odr
51,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",10,500,2.5623451563018373,3.0,76.4903205823229,16.739603902145625,2000,odr
52,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",10,200,4.051423422706978,3.0,78.92762574320581,21.511664792851334,2000,odr
53,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",10,100,5.729577951308233,3.0,47.20787075231907,25.998582338485004,2000,odr
54,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",10,50,8.102846845413955,3.0,64.54437786193519,28.575506100289054,2000,odr
55,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",10,20,12.811725781509187,3.0,62.15001630561954,32.38092998303721,2000,odr
56,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",10,10,18.118516357615334,3.0,85.6487887157628,22.911187748284053,2000,odr
57,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",10,5,25.623451563018374,3.0,79.52571648019308,27.048125887104643,2000,odr
58,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",10,2,40.51423422706978,3.0,81.57480115280173,27.02374941365543,2000,odr
59,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",10,1,57.29577951308232,3.0,80.79130803167895,27.890537257948857,2000,odr
60,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",5,100,5.729577951308233,1.0,52.859869593154144,23.468822415871415,2000,odr
61,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",5,100,5.729577951308233,2.0,62.851671679725406,16.923791810197297,2000,odr
62,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",5,100,5.729577951308233,3.0,53.059027272929875,20.332810483684533,2000,odr
63,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",5,100,5.729577951308233,5.0,34.69499655979533,30.55176193834799,2000,odr
64,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",5,100,5.729577951308233,10.0,37.92591543370395,23.50219594017211,2000,odr
65,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",6,100,5.729577951308233,1.0,66.79956373973468,19.782485625585572,2000,odr
66,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",6,100,5.729577951308233,2.0,73.1810605711731,17.777877032964305,2000,odr
67,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",6,100,5.729577951308233,3.0,67.71210525555684,18.96150845827357,2000,odr
68,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",6,100,5.729577951308233,5.0,71.56179905912256,17.151739924930354,2000,odr
69,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",6,100,5.729577951308233,10.0,75.15867808233008,18.954389747399592,2000,odr
70,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",7,100,5.729577951308233,1.0,65.58417725324462,14.243484255214772,2000,odr
71,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",7,100,5.729577951308233,2.0,75.00933461792354,11.536169852602193,2000,odr
72,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",7,100,5.729577951308233,3.0,80.42799013164613,11.6988327556396,2000,odr
73,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",7,100,5.729577951308233,5.0,66.99428650139302,18.33559503941717,2000,odr
74,AnchorNoise_VaryAnchors,"Fixed Bearing Noise, Varying Anchor Noise & Number of Anchors",7,100,5.729577951308233,10.0,58.039293553089394,14.540920751905436,2000,odr
